0,1,2,3,4,5,6,7,8
2015-01-01 00:00:00+00:00,2017-11-09 00:00:00+00:00,2017-11-09 00:00:00+00:00,2020-08-20 00:00:00+00:00,2020-09-29 00:00:00+00:00,2020-02-07 00:00:00+00:00,2021-04-14 00:00:00-04:00,2015-01-02 00:00:00-05:00,2015-01-02 00:00:00-05:00
2025-08-31 00:00:00+00:00,2025-08-31 00:00:00+00:00,2025-08-31 00:00:00+00:00,2025-08-31 00:00:00+00:00,2025-08-31 00:00:00+00:00,2025-08-31 00:00:00+00:00,2025-08-29 00:00:00-04:00,2025-08-29 00:00:00-04:00,2025-08-29 00:00:00-04:00
3895 days 00:00:00,2852 days 00:00:00,2852 days 00:00:00,1837 days 00:00:00,1797 days 00:00:00,2032 days 00:00:00,1598 days 00:00:00,3891 days 23:00:00,3891 days 23:00:00
99.2299794661191,96.03925692253767,97.30108657553453,90.36996735582154,95.99555061179088,97.78652238071815,23.614895549500453,97.42633345766505,98.50801939574787
16.289009530187958,23.1668899919567,1.0287142883802463,6.629001999450191,45.11556160533782,7.6312802554204175,0.0,1.2425111945937273,4.608244899158453
53.837080652367675,222.22476007785508,47.954855011940204,14.460322664118948,848.0062858748024,10.603921584165768,22.92931162442704,16.76150002992719,12.196447332512683
5.371351534228484,12.072726943059424,0.6187293759908973,0.7065671348090042,51.195520463862984,1.4133353350947269,0.21543609053030394,1.5593425919054598,1.6194558496077933
62.890095301879576,131.668899919567,-89.71285711619753,-33.70998000549809,351.15561605337814,-23.687197445795825,-100.0,-87.57488805406271,-53.91755100841548
46377.660913494845,840.9737562831218,41335.81966686376,-19.449594866183695,327.5619409916039,119.11660402324851,17.86972725172415,35903.55756374108,774.9714334400772
4.677063058624431,11.347261062981207,-25.245484443911227,-7.840055175885718,35.7783216880605,-4.737534773710339,0.0,-17.800541104210478,-7.023306212147085
74.04340746059577,97.01956929811664,90.77187353178938,91.36461550681021,196.35137306567773,14.380936963740629,174.82673937651094,41.35061348161108,25.35601487828884
4.678291505180909,11.351457497447903,-25.25311049817277,-7.844151089602103,35.80143342608994,-4.739810090144392,-100.0,-12.631084232334155,-4.892602289478787
0.06316650217797525,0.116958476986369,-0.2781201209322837,-0.08581062955714326,0.18221579574130597,-0.3294315791561649,0.0,-0.4304782832817344,-0.2769877776874477
0.10662056594262316,0.21905793231258308,-0.38499352189776737,-0.13321327728395432,0.5377625438508948,-0.4277294469296085,0.0,-0.5316659235539862,-0.36906007148607306
0.050138312726143094,0.1214155164446488,-0.2526515117854074,-0.08540876656514104,0.3778875601923549,-0.13565409794301522,0.0,-0.19030819176385813,-0.11078666560675071
1280.5147417578778,166.46081367918055,5739.239557984928,-35.53118970437742,324.59763171938465,-29.93167962545475,,-5590.623666357981,99.3743429823349
-0.02625455062787992,-0.0413709863116115,-0.14101455981950245,-0.09363741051726479,0.08107774747455854,0.05242327239651797,,0.1532730779821506,-0.19780328329044566
-93.28321605417167,-93.4580801141197,-99.92215865050426,-91.79450179632472,-94.67980811500748,-34.92363920845543,-100.0,-93.53533833319212,-63.394869533099516
-18.230451399312376,-9.750882672232844,-34.944545617331826,-46.71149337817214,-11.353497271773627,-8.071402644491139,-11.791844168512172,-26.830249601845946,-20.18793184258251
1308 days 00:00:00,1683 days 00:00:00,2801 days 00:00:00,1277 days 00:00:00,1119 days 00:00:00,1735 days 00:00:00,1184 days 00:00:00,1966 days 00:00:00,1823 days 00:00:00
120 days 00:00:00,52 days 00:00:00,704 days 00:00:00,337 days 00:00:00,45 days 00:00:00,249 days 00:00:00,81 days 00:00:00,422 days 00:00:00,480 days 00:00:00
155,105,94,62,71,81,9,114,116
41.935483870967744,43.80952380952381,44.680851063829785,43.54838709677419,46.478873239436616,38.2716049382716,44.44444444444444,31.57894736842105,36.206896551724135
141.09830229643512,134.67530347978064,966.6233558622713,115.20512032202635,1664.8250965750308,10.660343443697773,69.93347979966393,87.76924673502006,22.970079569939372
-47.964811746317,-27.432704418748134,-99.61882410334337,-43.52292520892351,-50.04030866690496,-13.284719676073898,-102.09523518880208,-36.640051463062775,-20.72250217045257
0.5140507679527451,1.0537858923412413,-1.6456585951203695,-0.36699598026618263,2.4564501264774607,-0.15669533810860337,0.0,-1.6113666541188398,-0.45627373318057884
97 days 00:00:00,132 days 00:00:00,136 days 00:00:00,213 days 00:00:00,212 days 00:00:00,127 days 00:00:00,142 days 00:00:00,264 days 00:00:00,146 days 00:00:00
25 days 00:00:00,27 days 00:00:00,30 days 00:00:00,27 days 00:00:00,25 days 00:00:00,25 days 00:00:00,42 days 00:00:00,34 days 00:00:00,34 days 00:00:00
1.4241013179295214,1.5374562008070007,3.296210866200787,1.338173202539847,3.8049322838403628,0.9555076864508116,0.864242183592101,1.0019836751682798,0.9638757450260848
2.604722946126783,3.599690160599103,14.188024698733193,2.8285156106644465,25.503834347512257,-0.06952490390464026,-2.354414138105903,0.013328973808720383,-0.11993383006047614
0.29555805998163476,0.16460287727367953,-0.17360126991065253,-0.19329298776862414,0.10745027247180455,-0.3351525579478524,-0.49125893933565595,-0.5099444987654281,-0.5935278243593463
0.028182836892368,0.023977266200323477,-0.08948609290580967,-0.03255617968574459,0.016535619623275488,-0.04177776408038697,-0.32150888307339853,-0.049868062386054846,-0.05577873845642001
