Período,Return [%],Sharpe Ratio,Sortino Ratio,Max. Drawdown [%],Win Rate [%],# Trades,Avg. Trade [%]
COMPLETO,118.45135756003869,0.2280554758635159,0.41534415665321023,-84.44816148640975,14.673913043478262,184,2.4471428095718117
2015 Q1,-11.028077696477567,-5.257704051396955,-3.232084297712369,-11.028077696477567,0.0,4,-0.9074659442381283
2015 Q2,-13.83049938832076,-6.289686911734406,-3.403102706129832,-13.83049938832076,0.0,5,-0.9640757208493334
2015 Q3,-14.067385391172566,-5.944845635235881,-3.415983027957382,-14.06738539117256,0.0,5,-1.0145835707247253
2015 Q4,-6.378837440757096,-2.1469557902392156,-1.8676444401342336,-9.382375808430632,0.0,2,-1.0946907739925682
2016 Q1,-8.765832057847689,-3.995024103407372,-2.977468331943093,-8.765832057847689,0.0,3,-1.045895110326378
2016 Q2,-8.047108618346968,-4.583922610164392,-3.3016051049410984,-8.047108618346964,0.0,3,-0.7809462409616885
2016 Q3,-4.067967026951763,-0.6806811012441072,-0.9930574514513889,-14.263075746719489,25.0,4,0.9381676428141139
2016 Q4,0.0,,,-0.0,,0,
2017 Q1,38.57668564734499,1.3278737652041745,8.36255103611113,-12.413430362945988,100.0,1,30.780867429069247
2017 Q2,-2.907718876395691,-2.143187715613107,-1.9062095636919936,-2.907718876395693,0.0,1,-0.9275656185248504
2017 Q3,-2.7868208382839583,-1.1417733448200444,-1.2895170442464892,-5.720640050403103,0.0,2,-0.9326586185883223
2017 Q4,-2.581937282165512,-2.1128303299016604,-1.906365893935544,-2.581937282165514,0.0,1,-0.6019599884577786
2018 Q1,-6.00565089083419,-1.4629365087025104,-1.4212733586252833,-12.150693046823447,0.0,2,-1.0791885761276654
2018 Q2,-3.105769465385251,-2.1540409391915682,-1.900507652650531,-3.1057694653852552,0.0,1,-1.125663988781267
2018 Q3,-7.163423626993165,-1.578784679948608,-1.3801690880564095,-13.71969289258127,0.0,3,-1.008221812977661
2018 Q4,15.031640960219036,0.9188668042800917,3.083189580914848,-12.458202394494544,20.0,5,4.823727584991078
2019 Q1,-2.714800407086642,-1.0100948048374971,-1.188521912771287,-6.138710422711635,0.0,2,-1.0863680776859397
2019 Q2,-5.951031995148043,-3.2513747359407748,-2.534133211557858,-5.951031995148037,0.0,2,-1.0525774610967487
2019 Q3,11.823759453704568,1.0484630814617428,3.264586706809186,-12.431729180950967,33.33333333333333,3,0.7239709878630318
2019 Q4,1.4086102791773527,0.17484360301194773,0.25337675721495534,-11.211230026746433,20.0,5,2.251889656364292
2020 Q1,46.98161638885745,1.153102595443716,17.461727410732284,-12.307801090992355,100.0,1,38.603805708096694
2020 Q2,-8.611393383184264,-3.7195820164265885,-2.6544306834744207,-8.611393383184263,0.0,3,-0.983520392193804
2020 Q3,-5.811957660858198,-3.34877844159386,-2.629466364913207,-5.811957660858202,0.0,2,-0.9790612566772605
2020 Q4,0.0,,,-0.0,,0,
2021 Q1,-13.856171690997485,-5.279666154986982,-2.9566394776156333,-13.856171690997488,0.0,5,-0.9670563982542291
2021 Q2,-11.570529498689837,-5.291894269450219,-3.1924195511947513,-11.57052949868984,0.0,4,-1.0577176422956525
2021 Q3,-6.0698837582804686,-3.2378481493147317,-2.5180106880299347,-6.06988375828047,0.0,2,-1.1149057567003573
2021 Q4,-11.445918827794529,-3.284486837938767,-2.5507057922619514,-13.585441801338726,0.0,4,-1.0246694019257152
2022 Q1,-14.050921815459775,-5.487976777211485,-3.0154670196759965,-14.050921815459771,0.0,5,-1.0153487984355003
2022 Q2,21.060009099801164,1.3959730634451322,8.84273243209451,-7.2102959468885786,0.0,1,-1.0007602384304315
2022 Q3,-8.227422591584343,-4.607390023000333,-3.2382910909505034,-8.227422591584343,0.0,3,-0.8443500119635128
2022 Q4,-4.501222113153531,-1.0577177622529879,-1.1162118478457803,-11.769273180975881,33.33333333333333,3,0.2457094274103122
2023 Q1,-11.446645407958414,-5.321538641041001,-3.2101360384418394,-11.44664540795841,0.0,4,-1.0240387893089897
2023 Q2,-16.55206086843046,-6.2340258143995895,-3.339888751943793,-16.552060868430463,0.0,6,-1.0005530817583486
2023 Q3,-14.117352097351016,-4.601283843688156,-2.6864801678166472,-14.117352097351022,0.0,5,-1.030157228661166
2023 Q4,0.0,,,-0.0,,0,
2024 Q1,-5.835281477271863,-3.749773695068821,-2.924269042134853,-5.835281477271859,0.0,2,-0.9922351743771429
2024 Q2,-3.5053088677937723,-0.6521362773239455,-0.9226142844926343,-11.016804130082992,50.0,2,0.22549007571033286
2024 Q3,-11.368155488221888,-2.2270489506619855,-1.7602785324948986,-16.404583626300152,0.0,4,-1.002994971145288
2024 Q4,4.860888688671864,2.3447291384695963,8.547114063248724,-0.9565904119327673,,0,
2025 Q1,-5.831149037796109,-3.2660450275825514,-2.5514108770818873,-5.831149037796113,0.0,2,-0.9903166386825091
2025 Q2,-8.636695876639038,-3.5497283148406105,-2.5187595410874137,-8.636695876639033,0.0,3,-0.9932906965119281
2025 Q3,-13.201705888442971,-4.6309041051748485,-3.296522602354787,-13.201705888442971,0.0,5,-0.8218008944699595
2025 Q4,-5.848037013869543,-3.4808305803154003,-2.5211115691408916,-5.848037013869545,0.0,2,-1.0002232996434324
