,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,_equity_curve,_trades
0,2017-04-01 00:00:00+00:00,2019-07-01 00:00:00+00:00,821 days,5.231143552311435,70.06775555627016,123.61800298283997,8.678481535929565,-29.932244443729843,326.59479816062975,-14.610578820732623,16.496430336955385,-14.627004872104632,-0.8856812366249887,-0.9052826176496687,-0.3372777275621332,-43.15374392335643,0.040482884461386405,-43.319133244696886,-10.388020642235409,668 days,119 days,5,0.0,-4.842961603183382,-5.064998612658922,-4.926124772749263,33 days,8 days,0.0,-4.9260821561289285,-21.259448700605766,,"KAMACrossover(n1=30,n2=90,stop=5,profit=80)","                               Equity  ...  DrawdownDuration
Date                                   ...                  
2017-04-01 00:00:00+00:00  100.000000  ...               NaT
2017-04-02 00:00:00+00:00  100.000000  ...               NaT
2017-04-03 00:00:00+00:00  100.000000  ...               NaT
2017-04-04 00:00:00+00:00  100.000000  ...               NaT
2017-04-05 00:00:00+00:00  100.000000  ...               NaT
...                               ...  ...               ...
2019-06-27 00:00:00+00:00   70.067756  ...               NaT
2019-06-28 00:00:00+00:00   70.067756  ...               NaT
2019-06-29 00:00:00+00:00   70.067756  ...               NaT
2019-06-30 00:00:00+00:00   70.067756  ...               NaT
2019-07-01 00:00:00+00:00   70.067756  ...          668 days

[822 rows x 3 columns]","    Size  ...  Exit_KAMA(C,90)
0 -51230  ...         0.002483
1  25269  ...         0.003873
2  -7848  ...         0.014904
3  20008  ...         0.003645
4  -8302  ...         0.008500

[5 rows x 17 columns]"
1,2018-05-17 00:00:00+00:00,2020-06-30 00:00:00+00:00,775 days,14.81958762886598,124.17381880180028,189.5630348381172,26.58467749988916,24.17381880180028,44.8516155258471,10.720501948332274,31.18120156496805,10.735052126764977,0.3438129837939508,0.623855374145632,0.2796297325374249,22.506041174945015,0.03718433789512352,-38.33820477905535,-5.684414377377059,337 days,35 days,9,22.22222222222222,40.14504905266867,-5.047386023770784,3.9878766974112967,63 days,12 days,2.549279718726245,5.4103057262201615,0.6268748281024586,0.10734924690633323,"KAMACrossover(n1=10,n2=90,stop=5,profit=40)","                               Equity  ...  DrawdownDuration
Date                                   ...                  
2018-05-17 00:00:00+00:00  100.000000  ...               NaT
2018-05-18 00:00:00+00:00  100.000000  ...               NaT
2018-05-19 00:00:00+00:00  100.000000  ...               NaT
2018-05-20 00:00:00+00:00  100.000000  ...               NaT
2018-05-21 00:00:00+00:00  100.000000  ...               NaT
...                               ...  ...               ...
2020-06-26 00:00:00+00:00  124.512497  ...               NaT
2020-06-27 00:00:00+00:00  122.915536  ...               NaT
2020-06-28 00:00:00+00:00  124.249760  ...               NaT
2020-06-29 00:00:00+00:00  124.892099  ...               NaT
2020-06-30 00:00:00+00:00  124.173819  ...          337 days

[776 rows x 3 columns]","    Size  ...  Exit_KAMA(C,90)
0 -17260  ...         0.004602
1  34928  ...         0.004822
2 -19710  ...         0.010654
3  14786  ...         0.010832
4 -16052  ...         0.010763
5  14979  ...         0.010755
6 -14826  ...         0.010719
7  15251  ...         0.007944
8 -24984  ...         0.008522

[9 rows x 17 columns]"
2,2019-06-09 00:00:00+00:00,2021-06-30 00:00:00+00:00,752 days,46.74634794156706,124.6917713054258,159.4443197815508,11.366776996527344,24.691771305425803,259.2302330002746,11.289768485342977,50.68113156973887,11.305599861702342,0.2227607816887019,0.4226080743976226,0.36042857701829434,44.243142839465236,-0.0754208770626639,-31.32317803083061,-9.411929309331239,142 days,29 days,5,40.0,39.98865793377288,-19.82018980548659,6.617244530335209,172 days,70 days,2.470265286185552,9.513549808208825,0.5073994116130865,0.18186435975109966,"KAMACrossover(n1=15,n2=80,stop=20,profit=40)","                               Equity  ...  DrawdownDuration
Date                                   ...                  
2019-06-09 00:00:00+00:00  100.000000  ...               NaT
2019-06-10 00:00:00+00:00  100.000000  ...               NaT
2019-06-11 00:00:00+00:00  100.000000  ...               NaT
2019-06-12 00:00:00+00:00  100.000000  ...               NaT
2019-06-13 00:00:00+00:00  100.000000  ...               NaT
...                               ...  ...               ...
2021-06-26 00:00:00+00:00  124.691771  ...               NaT
2021-06-27 00:00:00+00:00  124.691771  ...               NaT
2021-06-28 00:00:00+00:00  124.691771  ...               NaT
2021-06-29 00:00:00+00:00  124.691771  ...               NaT
2021-06-30 00:00:00+00:00  124.691771  ...           66 days

[753 rows x 3 columns]","    Size  ...  Exit_KAMA(C,80)
0 -11508  ...         0.007896
1  10739  ...         0.008927
2 -10527  ...         0.008778
3  12977  ...         0.010880
4  -3216  ...         0.056141

[5 rows x 17 columns]"
3,2020-06-19 00:00:00+00:00,2022-06-30 00:00:00+00:00,741 days,42.857142857142854,149.0851724186486,181.57107373689465,37.95312731494531,49.0851724186486,68.32269274301578,21.706785214477932,52.598364231169235,21.73905485829051,0.4126893589138409,0.7710711946977229,0.49727599704609116,57.83685872329755,-0.1280934043037053,-43.65138342373277,-10.439725686368412,175 days,31 days,14,35.714285714285715,40.04732662673618,-10.112525287587848,4.928331379485029,74 days,22 days,2.2257565771783816,7.043534808089909,0.8321289875786128,0.15044329873065762,"KAMACrossover(n1=15,n2=50,stop=10,profit=40)","                               Equity  ...  DrawdownDuration
Date                                   ...                  
2020-06-19 00:00:00+00:00  100.000000  ...               NaT
2020-06-20 00:00:00+00:00  100.000000  ...               NaT
2020-06-21 00:00:00+00:00  100.000000  ...               NaT
2020-06-22 00:00:00+00:00  100.000000  ...               NaT
2020-06-23 00:00:00+00:00  100.000000  ...               NaT
...                               ...  ...               ...
2022-06-26 00:00:00+00:00  149.085172  ...               NaT
2022-06-27 00:00:00+00:00  149.085172  ...               NaT
2022-06-28 00:00:00+00:00  149.085172  ...               NaT
2022-06-29 00:00:00+00:00  149.085172  ...               NaT
2022-06-30 00:00:00+00:00  149.085172  ...          159 days

[742 rows x 3 columns]","    Size  ...  Exit_KAMA(C,50)
0   8429  ...         0.014837
1  -6984  ...         0.018871
2   5010  ...         0.027181
3  -3344  ...         0.055690
4   2458  ...         0.055665
5  -2566  ...         0.040345
6   4169  ...         0.036803
7  -3611  ...         0.046256
8   2483  ...         0.059116
9  -2434  ...         0.041681
10  3523  ...         0.041781
11 -3696  ...         0.041073
12  2733  ...         0.041713
13 -2805  ...         0.030681

[14 rows x 17 columns]"
4,2021-06-25 00:00:00+00:00,2023-06-30 00:00:00+00:00,735 days,25.13586956521739,99.00478157501566,127.48957489128126,14.168533662484375,-0.9952184249843441,-39.07641481323228,-0.4947968238710132,26.60856873228674,-0.4954683463419651,-0.01859539416979721,-0.026565511884284635,-0.022145653658947346,-0.08814467771101353,0.023212819077920423,-22.342841240592783,-6.720026931224672,432 days,64 days,7,42.857142857142854,20.005959750981596,-10.022756727903094,1.809032876384098,67 days,26 days,1.4999291098288172,2.85682022556145,0.30897699654972294,0.09886383965039586,"KAMACrossover(n1=25,n2=70,stop=10,profit=20)","                               Equity  ...  DrawdownDuration
Date                                   ...                  
2021-06-25 00:00:00+00:00  100.000000  ...               NaT
2021-06-26 00:00:00+00:00  100.000000  ...               NaT
2021-06-27 00:00:00+00:00  100.000000  ...               NaT
2021-06-28 00:00:00+00:00  100.000000  ...               NaT
2021-06-29 00:00:00+00:00  100.000000  ...               NaT
...                               ...  ...               ...
2023-06-26 00:00:00+00:00   99.004782  ...               NaT
2023-06-27 00:00:00+00:00   99.004782  ...               NaT
2023-06-28 00:00:00+00:00   99.004782  ...               NaT
2023-06-29 00:00:00+00:00   99.004782  ...               NaT
2023-06-30 00:00:00+00:00   99.004782  ...          106 days

[736 rows x 3 columns]","   Size  ...  Exit_KAMA(C,70)
0  1607  ...         0.057317
1 -1726  ...         0.051259
2  2171  ...         0.041910
3 -2385  ...         0.041023
4  5390  ...         0.021063
5 -5037  ...         0.023414
6  3919  ...         0.027412

[7 rows x 17 columns]"
5,2022-06-28 00:00:00+00:00,2023-12-31 00:00:00+00:00,551 days,23.731884057971016,114.1137807825205,138.8227080302617,18.940995279686522,14.113780782520493,81.11583406504383,9.122366614054322,21.388337211545426,9.139657184197315,0.4265112581603617,0.7740385033355146,0.3171217327375039,9.820512296143036,0.052927625485978985,-28.766135122014237,-4.117487851550713,285 days,35 days,8,37.5,20.012565160732354,-5.017409180822052,3.715898743772006,56 days,16 days,2.4124741948697253,4.391595634906552,0.8222398707797084,0.1944453044622095,"KAMACrossover(n1=25,n2=50,stop=5,profit=20)","                               Equity  ...  DrawdownDuration
Date                                   ...                  
2022-06-28 00:00:00+00:00  100.000000  ...               NaT
2022-06-29 00:00:00+00:00  100.000000  ...               NaT
2022-06-30 00:00:00+00:00  100.000000  ...               NaT
2022-07-01 00:00:00+00:00  100.000000  ...               NaT
2022-07-02 00:00:00+00:00  100.000000  ...               NaT
...                               ...  ...               ...
2023-12-27 00:00:00+00:00  114.113781  ...               NaT
2023-12-28 00:00:00+00:00  114.113781  ...               NaT
2023-12-29 00:00:00+00:00  114.113781  ...               NaT
2023-12-30 00:00:00+00:00  114.113781  ...               NaT
2023-12-31 00:00:00+00:00  114.113781  ...          285 days

[552 rows x 3 columns]","   Size  ...  Exit_KAMA(C,50)
0  4972  ...         0.022041
1 -4689  ...         0.023372
2  4881  ...         0.024051
3 -4787  ...         0.027806
4  3970  ...         0.028965
5 -4254  ...         0.027452
6  3695  ...         0.027928
7 -3261  ...         0.037475

[8 rows x 17 columns]"
