Estrategia,Return [%],Sharpe Ratio,Sortino Ratio,Max. Drawdown [%],Win Rate [%],# Trades
SMA + ADX,-14.154517371093736,-0.5000260742214082,-0.6516889096270796,-26.18459860270508,25.0,4
MACD Simple,-62.22158962773452,-1.3670044493014426,-1.20381948242963,-77.14681295241002,36.53846153846153,52
MACD + ADX,-43.57858249843751,-1.2294372581822983,-1.2578528135877038,-54.9048259908719,43.47826086956522,23
KAMA,-69.81464547187498,-1.8411776906355002,-1.4317949135277015,-81.89353300471717,34.48275862068966,87
SMA Crossover,-32.26111484251561,-1.7785287088183137,-1.658556370085289,-40.22780573206691,46.875,32
